Condition    Stage    Image_n    Probe    index    z    y    x    n_rna    coloc
HS    6-cell    Image_14_191016    B04957    22    310    169    9    20    FALSE
HS    6-cell    Image_14_191016    B04957    23    129    232    7    5    FALSE
HS    6-cell    Image_14_191016    B04957    24    83    271    7    6    TRUE
HS    6-cell    Image_14_191016    B04957    25    395    346    9    5    FALSE
HS    6-cell    Image_14_191016    B04957    26    210    379    8    8    FALSE
HS    6-cell    Image_14_191016    B04957    27    400    404    8    5    FALSE
HS    6-cell    Image_14_191016    B04957    28    247    423    7    5    FALSE
HS    6-cell    Image_14_191016    B04957    29    379    93    8    9    FALSE
HS    6-cell    Image_14_191016    B04957    30    305    101    8    5    FALSE
HS    6-cell    Image_14_191016    B04957    31    363    122    9    7    FALSE
HS    6-cell    Image_14_191016    B04957    32    117    200    16    22    FALSE
HS    6-cell    Image_14_191016    B04957    33    272    264    10    12    FALSE
HS    6-cell    Image_14_191016    B04957    34    367    288    8    5    FALSE
HS    6-cell    Image_14_191016    B04957    35    201    350    10    8    FALSE
HS    6-cell    Image_14_191016    B04957    36    73    357    9    8    TRUE
HS    6-cell    Image_14_191016    B04957    37    63    367    8    8    TRUE
HS    6-cell    Image_14_191016    B04957    38    282    367    8    7    FALSE
HS    6-cell    Image_14_191016    B04957    39    37    376    11    24    TRUE
HS    6-cell    Image_14_191016    B04957    40    265    391    8    6    FALSE
HS    6-cell    Image_14_191016    B04957    41    69    420    8    8    TRUE
HS    6-cell    Image_14_191016    B04957    42    556    205    9    6    FALSE
HS    6-cell    Image_14_191016    B04957    43    313    267    10    7    FALSE
HS    6-cell    Image_14_191016    B04957    44    492    289    10    8    FALSE
HS    6-cell    Image_14_191016    B04957    45    292    358    10    6    FALSE
HS    6-cell    Image_14_191016    B04957    46    512    122    11    5    FALSE
HS    6-cell    Image_14_191016    B04957    47    495    191    12    5    FALSE
HS    6-cell    Image_14_191016    B04957    48    185    313    10    5    FALSE
HS    6-cell    Image_14_191016    B04957    49    211    427    14    6    FALSE
HS    6-cell    Image_14_191016    B04957    50    212    459    9    6    FALSE
HS    6-cell    Image_14_191016    B04957    51    356    210    10    5    FALSE
HS    6-cell    Image_14_191016    B04957    52    91    217    12    10    FALSE
HS    6-cell    Image_14_191016    B04957    53    256    246    18    5    FALSE
HS    6-cell    Image_14_191016    B04957    54    567    224    14    8    FALSE
HS    6-cell    Image_14_191016    B04957    55    348    242    11    6    FALSE
HS    6-cell    Image_14_191016    B04957    56    560    264    12    6    FALSE
HS    6-cell    Image_14_191016    B04957    57    546    309    13    5    FALSE
HS    6-cell    Image_14_191016    B04957    58    340    105    16    8    FALSE
HS    6-cell    Image_14_191016    B04957    59    425    420    13    5    FALSE
HS    6-cell    Image_14_191016    B04957    60    67    455    17    10    TRUE
HS    6-cell    Image_14_191016    B04957    61    386    177    17    7    FALSE
HS    6-cell    Image_14_191016    B04957    62    498    231    17    6    FALSE
HS    6-cell    Image_14_191016    B04957    63    236    236    16    8    FALSE
HS    6-cell    Image_14_191016    B04957    64    396    162    16    5    FALSE
HS    6-cell    Image_14_191016    B04957    65    151    272    15    7    FALSE
HS    6-cell    Image_14_191016    B04957    66    249    118    17    7    FALSE
HS    6-cell    Image_14_191016    B04957    67    303    249    14    5    FALSE
HS    6-cell    Image_14_191016    B04957    68    184    418    16    5    FALSE
HS    6-cell    Image_14_191016    B04957    69    124    316    17    6    TRUE
HS    6-cell    Image_14_191016    B04957    70    181    231    18    6    FALSE
HS    6-cell    Image_14_191016    B04957    71    132    418    17    6    TRUE
HS    6-cell    Image_14_191016    set-3    1    122    465    17    7    TRUE
HS    6-cell    Image_14_191016    set-3    2    145    208    19    5    FALSE
HS    6-cell    Image_14_191016    set-3    3    173    276    8    5    FALSE
HS    6-cell    Image_14_191016    set-3    4    268    104    9    6    FALSE
HS    6-cell    Image_14_191016    set-3    5    404    85    8    9    FALSE
HS    6-cell    Image_14_191016    set-3    6    372    125    8    10    FALSE
HS    6-cell    Image_14_191016    set-3    7    277    289    7    7    FALSE
HS    6-cell    Image_14_191016    set-3    8    135    228    8    7    FALSE
HS    6-cell    Image_14_191016    set-3    9    319    356    9    6    FALSE
HS    6-cell    Image_14_191016    set-3    10    262    386    10    5    FALSE
HS    6-cell    Image_14_191016    set-3    11    339    141    11    6    FALSE
HS    6-cell    Image_14_191016    set-3    12    40    359    11    8    FALSE
HS    6-cell    Image_14_191016    set-3    13    35    374    11    5    TRUE
HS    6-cell    Image_14_191016    set-3    14    251    404    13    6    FALSE
HS    6-cell    Image_14_191016    set-3    15    88    468    13    19    TRUE
HS    6-cell    Image_14_191016    set-3    16    496    215    10    5    FALSE
HS    6-cell    Image_14_191016    set-3    17    207    431    15    5    FALSE
HS    6-cell    Image_14_191016    set-3    18    517    113    16    14    FALSE
HS    6-cell    Image_14_191016    set-3    19    126    221    17    6    FALSE
HS    6-cell    Image_14_191016    set-3    20    131    391    18    11    TRUE
HS    6-cell    Image_14_191016    set-3    21    111    326    18    6    TRUE
HS    8-cell    Image_08_191014    B04957    1    169    68    11    6    FALSE
HS    8-cell    Image_08_191014    B04957    2    448    297    20    5    FALSE
HS    8-cell    Image_08_191014    B04957    3    211    60    6    5    FALSE
HS    8-cell    Image_08_191014    B04957    4    475    231    10    23    TRUE
HS    8-cell    Image_08_191014    B04957    5    288    254    7    7    FALSE
HS    8-cell    Image_08_191014    B04957    6    132    78    10    8    FALSE
HS    8-cell    Image_08_191014    B04957    7    306    256    9    5    FALSE
HS    8-cell    Image_08_191014    B04957    8    95    139    11    5    FALSE
HS    8-cell    Image_08_191014    B04957    9    340    193    12    5    FALSE
HS    8-cell    Image_08_191014    B04957    10    428    274    11    6    TRUE
HS    8-cell    Image_08_191014    B04957    11    146    69    14    5    FALSE
HS    8-cell    Image_08_191014    B04957    12    357    122    16    5    FALSE
HS    8-cell    Image_08_191014    B04957    13    476    204    17    6    FALSE
HS    8-cell    Image_08_191014    B04957    14    120    36    22    5    FALSE
HS    8-cell    Image_08_191014    B04957    15    154    217    22    7    FALSE
HS    8-cell    Image_08_191014    B04957    16    270    255    21    6    FALSE
HS    8-cell    Image_08_191014    B04957    17    376    346    23    8    FALSE
HS    8-cell    Image_08_191014    B04957    18    194    23    24    5    FALSE
HS    8-cell    Image_08_191014    B04957    19    386    173    24    5    FALSE
HS    8-cell    Image_08_191014    B04957    20    140    167    31    6    FALSE
HS    8-cell    Image_08_191014    B04957    21    271    164    34    5    FALSE
HS    8-cell    Image_08_191014    B04957    22    367    322    35    5    FALSE
HS    8-cell    Image_08_191014    B04957    23    172    182    40    6    FALSE
HS    8-cell    Image_08_191014    set-3    1    422    269    10    17    TRUE
HS    8-cell    Image_08_191014    set-3    2    120    83    10    6    FALSE
HS    8-cell    Image_08_191014    set-3    3    315    71    20    6    FALSE
HS    8-cell    Image_08_191014    set-3    4    168    57    24    5    FALSE
HS    8-cell    Image_08_191014    set-3    5    477    242    28    11    TRUE
HS    8-cell    Image_08_191014    set-3    6    303    218    35    5    FALSE
HS    8-cell    Image_13_191014    B04957    1    76    263    15    7    TRUE
HS    8-cell    Image_13_191014    B04957    2    91    229    18    6    FALSE
HS    8-cell    Image_13_191014    B04957    3    243    196    28    7    FALSE
HS    8-cell    Image_13_191014    B04957    4    318    58    17    5    FALSE
HS    8-cell    Image_13_191014    B04957    5    335    240    22    7    FALSE
HS    8-cell    Image_13_191014    B04957    6    351    62    22    9    FALSE
HS    8-cell    Image_13_191014    B04957    7    356    215    21    8    FALSE
HS    8-cell    Image_13_191014    B04957    8    474    102    7    9    FALSE
HS    8-cell    Image_13_191014    B04957    9    514    128    26    9    FALSE
HS    8-cell    Image_13_191014    B04957    10    316    202    5    6    FALSE
HS    8-cell    Image_13_191014    B04957    11    92    259    6    5    FALSE
HS    8-cell    Image_13_191014    B04957    12    515    139    14    23    FALSE
HS    8-cell    Image_13_191014    B04957    13    104    157    5    5    FALSE
HS    8-cell    Image_13_191014    B04957    14    511    206    6    5    FALSE
HS    8-cell    Image_13_191014    B04957    15    487    139    7    5    FALSE
HS    8-cell    Image_13_191014    B04957    16    181    222    11    5    FALSE
HS    8-cell    Image_13_191014    B04957    17    286    287    6    6    FALSE
HS    8-cell    Image_13_191014    B04957    18    271    303    7    6    FALSE
HS    8-cell    Image_13_191014    B04957    19    285    153    9    5    FALSE
HS    8-cell    Image_13_191014    B04957    20    255    175    8    7    FALSE
HS    8-cell    Image_13_191014    B04957    21    431    183    6    5    FALSE
HS    8-cell    Image_13_191014    B04957    22    360    198    8    8    FALSE
HS    8-cell    Image_13_191014    B04957    23    89    227    9    6    TRUE
HS    8-cell    Image_13_191014    B04957    24    393    289    9    8    FALSE
HS    8-cell    Image_13_191014    B04957    25    178    145    11    5    FALSE
HS    8-cell    Image_13_191014    B04957    26    231    192    10    5    FALSE
HS    8-cell    Image_13_191014    B04957    27    263    251    8    5    FALSE
HS    8-cell    Image_13_191014    B04957    28    372    275    10    6    FALSE
HS    8-cell    Image_13_191014    B04957    29    489    222    15    11    FALSE
HS    8-cell    Image_13_191014    B04957    30    135    142    13    5    FALSE
HS    8-cell    Image_13_191014    B04957    31    197    228    15    5    FALSE
HS    8-cell    Image_13_191014    B04957    32    262    282    14    8    FALSE
HS    8-cell    Image_13_191014    B04957    33    183    125    15    5    FALSE
HS    8-cell    Image_13_191014    B04957    34    457    145    16    5    FALSE
HS    8-cell    Image_13_191014    B04957    35    427    252    17    10    FALSE
HS    8-cell    Image_13_191014    B04957    36    82    229    19    6    TRUE
HS    8-cell    Image_13_191014    B04957    37    253    306    22    9    FALSE
HS    8-cell    Image_13_191014    B04957    38    446    91    20    5    FALSE
HS    8-cell    Image_13_191014    B04957    39    409    176    23    6    FALSE
HS    8-cell    Image_13_191014    B04957    40    313    81    24    11    FALSE
HS    8-cell    Image_13_191014    B04957    41    341    148    22    10    FALSE
HS    8-cell    Image_13_191014    B04957    42    45    193    21    5    FALSE
HS    8-cell    Image_13_191014    B04957    43    372    227    22    5    FALSE
HS    8-cell    Image_13_191014    B04957    44    412    227    25    6    FALSE
HS    8-cell    Image_13_191014    B04957    45    285    145    27    6    FALSE
HS    8-cell    Image_13_191014    B04957    46    276    249    27    9    FALSE
HS    8-cell    Image_13_191014    B04957    47    440    186    29    10    FALSE
HS    8-cell    Image_13_191014    B04957    48    325    312    27    6    FALSE
HS    8-cell    Image_13_191014    B04957    49    75    257    29    8    FALSE
HS    8-cell    Image_13_191014    B04957    50    157    179    30    5    FALSE
HS    8-cell    Image_13_191014    B04957    51    90    229    31    7    TRUE
HS    8-cell    Image_13_191014    B04957    52    526    167    31    5    FALSE
HS    8-cell    Image_13_191014    B04957    53    370    212    29    5    FALSE
HS    8-cell    Image_13_191014    B04957    54    392    249    32    6    FALSE
HS    8-cell    Image_13_191014    B04957    55    284    291    35    5    FALSE
HS    8-cell    Image_13_191014    set-3    1    81    257    17    21    TRUE
HS    8-cell    Image_13_191014    set-3    2    90    249    10    5    TRUE
HS    8-cell    Image_13_191014    set-3    3    355    129    12    5    FALSE
HS    8-cell    Image_13_191014    set-3    4    401    109    24    5    FALSE
HS    8-cell    Image_13_191014    set-3    5    88    234    31    7    TRUE
HS    8-cell    Image_13_191014    set-3    6    296    247    30    8    FALSE
HS    8-cell    Image_14_191014    B04957    1    76    73    22    13    FALSE
HS    8-cell    Image_14_191014    B04957    2    96    69    39    8    FALSE
HS    8-cell    Image_14_191014    B04957    3    108    187    28    8    FALSE
HS    8-cell    Image_14_191014    B04957    4    141    57    41    5    FALSE
HS    8-cell    Image_14_191014    B04957    5    199    164    9    9    FALSE
HS    8-cell    Image_14_191014    B04957    6    263    192    15    7    FALSE
HS    8-cell    Image_14_191014    B04957    7    302    327    7    6    FALSE
HS    8-cell    Image_14_191014    B04957    8    365    427    16    8    FALSE
HS    8-cell    Image_14_191014    B04957    9    374    403    16    7    FALSE
HS    8-cell    Image_14_191014    B04957    10    426    267    8    25    FALSE
HS    8-cell    Image_14_191014    B04957    11    446    291    9    11    FALSE
HS    8-cell    Image_14_191014    B04957    12    454    267    29    13    FALSE
HS    8-cell    Image_14_191014    B04957    13    449    273    10    8    FALSE
HS    8-cell    Image_14_191014    B04957    14    217    116    5    5    FALSE
HS    8-cell    Image_14_191014    B04957    15    375    413    6    8    FALSE
HS    8-cell    Image_14_191014    B04957    16    80    170    6    7    FALSE
HS    8-cell    Image_14_191014    B04957    17    134    182    7    5    FALSE
HS    8-cell    Image_14_191014    B04957    18    396    212    9    11    FALSE
HS    8-cell    Image_14_191014    B04957    19    334    274    7    5    FALSE
HS    8-cell    Image_14_191014    B04957    20    115    286    8    7    FALSE
HS    8-cell    Image_14_191014    B04957    21    387    436    9    8    FALSE
HS    8-cell    Image_14_191014    B04957    22    311    345    9    7    FALSE
HS    8-cell    Image_14_191014    B04957    23    453    448    9    5    FALSE
HS    8-cell    Image_14_191014    B04957    24    229    138    10    6    FALSE
HS    8-cell    Image_14_191014    B04957    25    240    97    11    6    FALSE
HS    8-cell    Image_14_191014    B04957    26    68    209    11    8    FALSE
HS    8-cell    Image_14_191014    B04957    27    223    278    12    6    FALSE
HS    8-cell    Image_14_191014    B04957    28    355    249    12    5    FALSE
HS    8-cell    Image_14_191014    B04957    29    313    319    16    13    TRUE
HS    8-cell    Image_14_191014    B04957    30    428    389    13    8    FALSE
HS    8-cell    Image_14_191014    B04957    31    300    342    16    8    FALSE
HS    8-cell    Image_14_191014    B04957    32    441    353    13    5    FALSE
HS    8-cell    Image_14_191014    B04957    33    152    241    16    6    FALSE
HS    8-cell    Image_14_191014    B04957    34    270    329    15    6    FALSE
HS    8-cell    Image_14_191014    B04957    35    164    351    18    9    FALSE
HS    8-cell    Image_14_191014    B04957    36    131    131    16    6    FALSE
HS    8-cell    Image_14_191014    B04957    37    241    191    18    6    FALSE
HS    8-cell    Image_14_191014    B04957    38    318    391    17    5    FALSE
HS    8-cell    Image_14_191014    B04957    39    81    176    23    5    FALSE
HS    8-cell    Image_14_191014    B04957    40    81    176    16    5    FALSE
HS    8-cell    Image_14_191014    B04957    41    370    207    18    6    FALSE
HS    8-cell    Image_14_191014    B04957    42    400    243    18    5    FALSE
HS    8-cell    Image_14_191014    B04957    43    271    261    19    5    FALSE
HS    8-cell    Image_14_191014    B04957    44    311    277    19    5    FALSE
HS    8-cell    Image_14_191014    B04957    45    150    151    32    7    FALSE
HS    8-cell    Image_14_191014    B04957    46    266    383    20    6    FALSE
HS    8-cell    Image_14_191014    B04957    47    317    443    23    7    FALSE
HS    8-cell    Image_14_191014    B04957    48    479    448    22    7    FALSE
HS    8-cell    Image_14_191014    B04957    49    121    220    25    5    FALSE
HS    8-cell    Image_14_191014    B04957    50    286    330    24    5    FALSE
HS    8-cell    Image_14_191014    B04957    51    484    401    26    9    FALSE
HS    8-cell    Image_14_191014    B04957    52    264    248    26    5    FALSE
HS    8-cell    Image_14_191014    B04957    53    405    331    28    5    FALSE
HS    8-cell    Image_14_191014    B04957    54    201    96    27    5    FALSE
HS    8-cell    Image_14_191014    B04957    55    227    252    27    6    FALSE
HS    8-cell    Image_14_191014    B04957    56    104    254    26    5    FALSE
HS    8-cell    Image_14_191014    B04957    57    183    201    26    5    FALSE
HS    8-cell    Image_14_191014    B04957    58    290    298    27    5    FALSE
HS    8-cell    Image_14_191014    B04957    59    121    123    30    5    FALSE
HS    8-cell    Image_14_191014    B04957    60    422    419    29    5    FALSE
HS    8-cell    Image_14_191014    B04957    61    260    323    32    5    FALSE
HS    8-cell    Image_14_191014    B04957    62    479    413    33    9    FALSE
HS    8-cell    Image_14_191014    B04957    63    398    402    29    5    TRUE
HS    8-cell    Image_14_191014    B04957    64    318    425    32    5    FALSE
HS    8-cell    Image_14_191014    B04957    65    180    205    33    5    FALSE
HS    8-cell    Image_14_191014    B04957    66    446    467    39    5    TRUE
HS    8-cell    Image_14_191014    B04957    67    257    121    38    5    FALSE
HS    8-cell    Image_14_191014    B04957    68    404    206    36    6    FALSE
HS    8-cell    Image_14_191014    B04957    69    171    216    38    6    FALSE
HS    8-cell    Image_14_191014    B04957    70    167    334    36    5    FALSE
HS    8-cell    Image_14_191014    B04957    71    141    64    36    4    FALSE
HS    8-cell    Image_14_191014    B04957    72    328    394    39    5    FALSE
HS    8-cell    Image_14_191014    B04957    73    245    405    39    5    FALSE
HS    8-cell    Image_14_191014    B04957    74    321    322    41    5    FALSE
HS    8-cell    Image_14_191014    set-3    1    449    441    14    20    TRUE
HS    8-cell    Image_14_191014    set-3    2    341    381    10    5    FALSE
HS    8-cell    Image_14_191014    set-3    3    306    178    11    5    FALSE
HS    8-cell    Image_14_191014    set-3    4    443    469    37    7    TRUE
HS    8-cell    Image_15_191016    B04957    1    122    240    19    16    FALSE
HS    8-cell    Image_15_191016    B04957    2    144    118    17    7    FALSE
HS    8-cell    Image_15_191016    B04957    3    187    40    20    6    FALSE
HS    8-cell    Image_15_191016    B04957    4    193    281    22    6    FALSE
HS    8-cell    Image_15_191016    B04957    5    224    371    18    6    FALSE
HS    8-cell    Image_15_191016    B04957    6    251    167    20    8    FALSE
HS    8-cell    Image_15_191016    B04957    7    267    67    11    10    FALSE
HS    8-cell    Image_15_191016    B04957    8    292    550    11    29    TRUE
HS    8-cell    Image_15_191016    B04957    9    332    243    13    6    FALSE
HS    8-cell    Image_15_191016    B04957    10    339    556    12    41    TRUE
HS    8-cell    Image_15_191016    B04957    11    340    570    15    12    TRUE
HS    8-cell    Image_15_191016    B04957    12    362    515    11    41    TRUE
HS    8-cell    Image_15_191016    B04957    13    384    563    15    19    TRUE
HS    8-cell    Image_15_191016    B04957    14    422    460    18    5    TRUE
HS    8-cell    Image_15_191016    B04957    15    428    301    22    5    FALSE
HS    8-cell    Image_15_191016    B04957    16    448    320    18    13    FALSE
HS    8-cell    Image_15_191016    B04957    17    468    400    13    22    FALSE
HS    8-cell    Image_15_191016    B04957    18    464    500    16    42    TRUE
HS    8-cell    Image_15_191016    B04957    19    437    473    9    10    TRUE
HS    8-cell    Image_15_191016    B04957    20    147    273    9    8    FALSE
HS    8-cell    Image_15_191016    B04957    21    284    357    8    8    FALSE
HS    8-cell    Image_15_191016    B04957    22    444    389    9    8    FALSE
HS    8-cell    Image_15_191016    B04957    23    474    411    7    7    FALSE
HS    8-cell    Image_15_191016    B04957    24    206    121    9    6    FALSE
HS    8-cell    Image_15_191016    B04957    25    210    184    11    8    FALSE
HS    8-cell    Image_15_191016    B04957    26    212    227    12    6    FALSE
HS    8-cell    Image_15_191016    B04957    27    104    296    9    13    FALSE
HS    8-cell    Image_15_191016    B04957    28    191    301    7    5    FALSE
HS    8-cell    Image_15_191016    B04957    29    438    332    9    8    FALSE
HS    8-cell    Image_15_191016    B04957    30    430    337    8    8    FALSE
HS    8-cell    Image_15_191016    B04957    31    327    368    10    8    FALSE
HS    8-cell    Image_15_191016    B04957    32    303    386    8    6    TRUE
HS    8-cell    Image_15_191016    B04957    33    147    417    9    9    FALSE
HS    8-cell    Image_15_191016    B04957    34    163    431    9    6    FALSE
HS    8-cell    Image_15_191016    B04957    35    345    477    8    6    TRUE
HS    8-cell    Image_15_191016    B04957    36    236    117    10    9    FALSE
HS    8-cell    Image_15_191016    B04957    37    125    164    12    18    FALSE
HS    8-cell    Image_15_191016    B04957    38    252    206    9    5    FALSE
HS    8-cell    Image_15_191016    B04957    39    387    222    21    10    FALSE
HS    8-cell    Image_15_191016    B04957    40    332    233    10    10    FALSE
HS    8-cell    Image_15_191016    B04957    41    271    239    14    5    FALSE
HS    8-cell    Image_15_191016    B04957    42    272    234    8    6    FALSE
HS    8-cell    Image_15_191016    B04957    43    272    239    23    5    FALSE
HS    8-cell    Image_15_191016    B04957    44    371    402    8    5    FALSE
HS    8-cell    Image_15_191016    B04957    45    394    409    9    5    FALSE
HS    8-cell    Image_15_191016    B04957    46    384    438    10    5    FALSE
HS    8-cell    Image_15_191016    B04957    47    362    489    21    29    TRUE
HS    8-cell    Image_15_191016    B04957    48    367    487    9    5    FALSE
HS    8-cell    Image_15_191016    B04957    49    437    526    11    6    TRUE
HS    8-cell    Image_15_191016    B04957    50    371    530    17    12    TRUE
HS    8-cell    Image_15_191016    B04957    51    372    536    9    10    TRUE
HS    8-cell    Image_15_191016    B04957    52    182    32    10    11    FALSE
HS    8-cell    Image_15_191016    B04957    53    248    192    10    6    FALSE
HS    8-cell    Image_15_191016    B04957    54    345    193    11    7    FALSE
HS    8-cell    Image_15_191016    B04957    55    387    236    10    7    FALSE
HS    8-cell    Image_15_191016    B04957    56    495    389    14    8    FALSE
HS    8-cell    Image_15_191016    B04957    57    190    70    11    5    FALSE
HS    8-cell    Image_15_191016    B04957    58    310    98    13    14    FALSE
HS    8-cell    Image_15_191016    B04957    59    141    106    12    6    FALSE
HS    8-cell    Image_15_191016    B04957    60    94    225    11    6    FALSE
HS    8-cell    Image_15_191016    B04957    61    442    225    12    7    FALSE
HS    8-cell    Image_15_191016    B04957    62    159    238    10    5    FALSE
HS    8-cell    Image_15_191016    B04957    63    201    412    12    8    FALSE
HS    8-cell    Image_15_191016    B04957    64    279    428    12    11    TRUE
HS    8-cell    Image_15_191016    B04957    65    275    427    23    5    FALSE
HS    8-cell    Image_15_191016    B04957    66    271    441    13    8    FALSE
HS    8-cell    Image_15_191016    B04957    67    325    491    11    9    FALSE
HS    8-cell    Image_15_191016    B04957    68    331    208    11    5    FALSE
HS    8-cell    Image_15_191016    B04957    69    189    211    13    8    FALSE
HS    8-cell    Image_15_191016    B04957    70    385    226    13    5    FALSE
HS    8-cell    Image_15_191016    B04957    71    425    380    17    8    FALSE
HS    8-cell    Image_15_191016    B04957    72    206    45    14    15    FALSE
HS    8-cell    Image_15_191016    B04957    73    109    86    12    6    FALSE
HS    8-cell    Image_15_191016    B04957    74    113    111    13    5    FALSE
HS    8-cell    Image_15_191016    B04957    75    297    137    13    10    FALSE
HS    8-cell    Image_15_191016    B04957    76    117    192    12    5    FALSE
HS    8-cell    Image_15_191016    B04957    77    438    310    13    5    FALSE
HS    8-cell    Image_15_191016    B04957    78    462    412    13    5    FALSE
HS    8-cell    Image_15_191016    B04957    79    335    99    15    17    FALSE
HS    8-cell    Image_15_191016    B04957    80    375    151    15    5    FALSE
HS    8-cell    Image_15_191016    B04957    81    307    161    15    14    FALSE
HS    8-cell    Image_15_191016    B04957    82    147    227    15    8    FALSE
HS    8-cell    Image_15_191016    B04957    83    123    292    16    6    FALSE
HS    8-cell    Image_15_191016    B04957    84    96    313    17    16    FALSE
HS    8-cell    Image_15_191016    B04957    85    339    339    22    14    FALSE
HS    8-cell    Image_15_191016    B04957    86    157    332    14    6    FALSE
HS    8-cell    Image_15_191016    B04957    87    369    375    17    33    FALSE
HS    8-cell    Image_15_191016    B04957    88    310    475    17    5    FALSE
HS    8-cell    Image_15_191016    B04957    89    419    545    17    18    TRUE
HS    8-cell    Image_15_191016    B04957    90    252    78    22    8    FALSE
HS    8-cell    Image_15_191016    B04957    91    280    207    18    18    FALSE
HS    8-cell    Image_15_191016    B04957    92    312    177    17    6    FALSE
HS    8-cell    Image_15_191016    B04957    93    300    178    22    6    FALSE
HS    8-cell    Image_15_191016    B04957    94    300    421    23    11    TRUE
HS    8-cell    Image_15_191016    B04957    95    403    505    18    8    TRUE
HS    8-cell    Image_15_191016    B04957    96    428    532    16    6    FALSE
HS    8-cell    Image_15_191016    B04957    97    159    29    21    10    FALSE
HS    8-cell    Image_15_191016    B04957    98    190    52    20    7    FALSE
HS    8-cell    Image_15_191016    B04957    99    156    89    22    5    FALSE
HS    8-cell    Image_15_191016    B04957    100    408    178    20    9    FALSE
HS    8-cell    Image_15_191016    B04957    101    90    192    19    5    FALSE
HS    8-cell    Image_15_191016    B04957    102    126    227    22    7    FALSE
HS    8-cell    Image_15_191016    B04957    103    87    289    19    7    FALSE
HS    8-cell    Image_15_191016    B04957    104    461    310    22    7    FALSE
HS    8-cell    Image_15_191016    B04957    105    468    353    20    8    FALSE
HS    8-cell    Image_15_191016    B04957    106    494    422    22    10    FALSE
HS    8-cell    Image_15_191016    B04957    107    371    479    20    10    TRUE
HS    8-cell    Image_15_191016    B04957    108    391    514    19    5    TRUE
HS    8-cell    Image_15_191016    B04957    109    99    257    20    6    FALSE
HS    8-cell    Image_15_191016    B04957    110    343    322    22    8    FALSE
HS    8-cell    Image_15_191016    B04957    111    247    341    20    6    FALSE
HS    8-cell    Image_15_191016    B04957    112    95    371    20    6    FALSE
HS    8-cell    Image_15_191016    B04957    113    290    386    19    6    FALSE
HS    8-cell    Image_15_191016    B04957    114    231    486    21    7    TRUE
HS    8-cell    Image_15_191016    B04957    115    417    493    22    23    TRUE
HS    8-cell    Image_15_191016    B04957    116    309    553    21    6    TRUE
HS    8-cell    Image_15_191016    B04957    117    366    554    19    5    TRUE
HS    8-cell    Image_15_191016    B04957    118    236    159    24    11    FALSE
HS    8-cell    Image_15_191016    B04957    119    413    252    22    12    FALSE
HS    8-cell    Image_15_191016    B04957    120    233    340    25    5    FALSE
HS    8-cell    Image_15_191016    B04957    121    411    352    20    5    FALSE
HS    8-cell    Image_15_191016    B04957    122    410    407    23    5    FALSE
HS    8-cell    Image_15_191016    B04957    123    290    412    22    5    TRUE
HS    8-cell    Image_15_191016    B04957    124    279    115    22    7    FALSE
HS    8-cell    Image_15_191016    B04957    125    134    366    22    5    FALSE
HS    8-cell    Image_15_191016    B04957    126    298    407    23    6    TRUE
HS    8-cell    Image_15_191016    B04957    127    169    111    23    6    FALSE
HS    8-cell    Image_15_191016    B04957    128    258    316    23    10    FALSE
HS    8-cell    Image_15_191016    B04957    129    493    345    22    6    FALSE
HS    8-cell    Image_15_191016    B04957    130    184    101    24    5    FALSE
HS    8-cell    Image_15_191016    B04957    131    218    132    23    5    FALSE
HS    8-cell    Image_15_191016    B04957    132    287    200    24    5    FALSE
HS    8-cell    Image_15_191016    B04957    133    299    228    23    7    FALSE
HS    8-cell    Image_15_191016    B04957    134    283    454    23    7    TRUE
HS    8-cell    Image_15_191016    set-3    1    279    363    9    6    FALSE
HS    8-cell    Image_15_191016    set-3    2    276    419    24    8    FALSE
HS    8-cell    Image_15_191016    set-3    3    297    412    23    5    TRUE
HS    8-cell    Image_15_191016    set-3    4    344    557    10    9    TRUE
HS    8-cell    Image_15_191016    set-3    5    427    307    24    5    FALSE
HS    8-cell    Image_15_191016    set-3    6    158    390    9    7    FALSE
HS    8-cell    Image_15_191016    set-3    7    137    125    9    5    FALSE
HS    8-cell    Image_15_191016    set-3    8    385    556    12    7    TRUE
HS    8-cell    Image_15_191016    set-3    9    325    153    10    5    FALSE
HS    8-cell    Image_15_191016    set-3    10    459    504    17    8    TRUE
HS    8-cell    Image_15_191016    set-3    11    333    552    14    9    TRUE
HS    8-cell    Image_15_191016    set-3    12    444    331    11    6    FALSE
HS    8-cell    Image_15_191016    set-3    13    297    553    13    8    FALSE
HS    8-cell    Image_15_191016    set-3    14    433    451    15    7    TRUE
HS    8-cell    Image_15_191016    set-3    15    338    95    18    7    FALSE
HS    8-cell    Image_15_191016    set-3    16    161    338    18    5    FALSE
HS    8-cell    Image_15_191016    set-3    17    364    377    17    6    FALSE
HS    8-cell    Image_15_191016    set-3    18    472    492    20    5    TRUE
HS    8-cell    Image_15_191016    set-3    19    135    174    20    5    FALSE
HS    8-cell    Image_15_191016    set-3    20    361    486    21    19    TRUE
HS    8-cell    Image_15_191016    set-3    21    83    197    22    5    FALSE
HS    8-cell    Image_15_191016    set-3    22    286    208    21    12    FALSE
HS    8-cell    Image_15_191016    set-3    23    409    540    23    5    TRUE
HS    8-cell    Image_15_191016    set-3    24    293    423    23    5    TRUE
HS    8-cell    Image_15_191016    set-3    25    241    156    24    5    FALSE
HS    8-cell    Image_15_191016    set-3    26    290    197    25    7    FALSE
