Condition    Stage    Image_n    Probe    index    z    y    x    n_rna    coloc
HS    2-cell    Image_10_191016    B04957    91    312    316    18    15    TRUE
HS    2-cell    Image_10_191016    B04957    92    318    428    18    6    TRUE
HS    2-cell    Image_10_191016    B04957    93    456    483    23    5    TRUE
HS    2-cell    Image_10_191016    B04957    94    463    483    18    7    TRUE
HS    2-cell    Image_10_191016    B04957    95    338    566    23    9    TRUE
HS    2-cell    Image_10_191016    B04957    96    358    575    23    35    TRUE
HS    2-cell    Image_10_191016    B04957    97    303    258    18    5    FALSE
HS    2-cell    Image_10_191016    B04957    98    493    417    20    11    TRUE
HS    2-cell    Image_10_191016    B04957    99    473    501    21    9    TRUE
HS    2-cell    Image_10_191016    B04957    100    383    537    20    6    TRUE
HS    2-cell    Image_10_191016    B04957    101    346    219    19    5    FALSE
HS    2-cell    Image_10_191016    B04957    102    247    396    19    8    FALSE
HS    2-cell    Image_10_191016    B04957    103    209    396    17    8    FALSE
HS    2-cell    Image_10_191016    B04957    104    268    460    18    8    FALSE
HS    2-cell    Image_10_191016    B04957    105    457    537    20    5    FALSE
HS    2-cell    Image_10_191016    B04957    106    157    143    21    22    FALSE
HS    2-cell    Image_10_191016    B04957    107    187    242    19    5    FALSE
HS    2-cell    Image_10_191016    B04957    108    257    251    19    5    FALSE
HS    2-cell    Image_10_191016    B04957    109    43    299    21    10    FALSE
HS    2-cell    Image_10_191016    B04957    110    79    370    23    5    FALSE
HS    2-cell    Image_10_191016    B04957    111    407    490    21    17    TRUE
HS    2-cell    Image_10_191016    B04957    112    398    485    27    6    TRUE
HS    2-cell    Image_10_191016    B04957    113    423    543    21    6    FALSE
HS    2-cell    Image_10_191016    B04957    114    173    341    22    10    FALSE
HS    2-cell    Image_10_191016    B04957    115    166    372    20    5    FALSE
HS    2-cell    Image_10_191016    B04957    116    230    411    24    6    FALSE
HS    2-cell    Image_10_191016    B04957    117    117    416    21    6    FALSE
HS    2-cell    Image_10_191016    B04957    118    287    543    22    6    FALSE
HS    2-cell    Image_10_191016    B04957    119    150    229    23    8    FALSE
HS    2-cell    Image_10_191016    B04957    120    73    266    23    5    FALSE
HS    2-cell    Image_10_191016    B04957    121    374    303    25    12    TRUE
HS    2-cell    Image_10_191016    B04957    122    354    338    24    20    TRUE
HS    2-cell    Image_10_191016    B04957    123    198    201    24    5    FALSE
HS    2-cell    Image_10_191016    B04957    124    157    240    24    13    FALSE
HS    2-cell    Image_10_191016    B04957    125    328    309    24    10    TRUE
HS    2-cell    Image_10_191016    B04957    126    247    214    24    5    FALSE
HS    2-cell    Image_10_191016    B04957    127    453    307    26    7    TRUE
HS    2-cell    Image_10_191016    B04957    128    294    323    26    10    FALSE
HS    2-cell    Image_10_191016    B04957    129    165    220    26    6    FALSE
HS    2-cell    Image_10_191016    B04957    130    80    325    26    5    FALSE
HS    2-cell    Image_10_191016    B04957    131    493    378    26    6    TRUE
HS    2-cell    Image_10_191016    B04957    132    301    503    26    9    TRUE
HS    2-cell    Image_10_191016    B04957    133    347    277    26    6    FALSE
HS    2-cell    Image_10_191016    B04957    134    436    361    27    7    FALSE
HS    2-cell    Image_10_191016    B04957    135    453    415    27    5    TRUE
HS    2-cell    Image_10_191016    set-3    1    357    576    24    15    TRUE
HS    2-cell    Image_10_191016    set-3    2    376    423    24    9    TRUE
HS    2-cell    Image_10_191016    set-3    3    386    541    22    8    TRUE
HS    2-cell    Image_10_191016    set-3    4    395    496    10    11    TRUE
HS    2-cell    Image_10_191016    set-3    5    413    392    12    7    TRUE
HS    2-cell    Image_10_191016    set-3    6    450    564    20    34    TRUE
HS    2-cell    Image_10_191016    set-3    7    451    312    12    6    TRUE
HS    2-cell    Image_10_191016    set-3    8    457    489    19    5    TRUE
HS    2-cell    Image_10_191016    set-3    9    407    342    11    7    TRUE
HS    2-cell    Image_10_191016    set-3    10    182    349    12    5    FALSE
HS    2-cell    Image_10_191016    set-3    11    408    472    12    7    TRUE
HS    2-cell    Image_10_191016    set-3    12    317    524    11    14    TRUE
HS    2-cell    Image_10_191016    set-3    13    346    532    12    15    TRUE
HS    2-cell    Image_10_191016    set-3    14    502    379    13    8    TRUE
HS    2-cell    Image_10_191016    set-3    15    111    424    13    5    FALSE
HS    2-cell    Image_10_191016    set-3    16    388    452    12    6    TRUE
HS    2-cell    Image_10_191016    set-3    17    450    275    14    7    TRUE
HS    2-cell    Image_10_191016    set-3    18    75    172    15    5    FALSE
HS    2-cell    Image_10_191016    set-3    19    75    202    16    5    FALSE
HS    2-cell    Image_10_191016    set-3    20    393    256    17    7    TRUE
HS    2-cell    Image_10_191016    set-3    21    444    476    18    5    FALSE
HS    2-cell    Image_10_191016    set-3    22    391    586    18    5    FALSE
HS    2-cell    Image_10_191016    set-3    23    313    315    21    6    TRUE
HS    2-cell    Image_10_191016    set-3    24    156    417    20    5    FALSE
HS    2-cell    Image_10_191016    set-3    25    315    560    23    5    TRUE
