RowNo	Image	RNAi_Condition	Transcript	Cell_Stage	Total_No_RNA	No_RNA_clusters	No_RNA_in_clusters	fraction_RNA_in_clusters	Average_No_RNA_per_Cluster
504	26-48-cell_06_C1	spn-4	clu-1	26-48-cell	541	15	137	0.25323475	9.133333333
505	26-48-cell_06_C2	spn-4	cpg-2	26-48-cell	15559	581	5271	0.338774986	9.072289157
506	26-48-cell_12_C1	spn-4	clu-1	26-48-cell	493	5	51	0.103448276	10.2
507	26-48-cell_12_C2	spn-4	cpg-2	26-48-cell	3505	32	2618	0.746932953	81.8125
508	4-cell_08_C1	spn-4_mex-3	clu-1	4-cell	1090	36	416	0.381651376	11.55555556
509	4-cell_08_C2	spn-4_mex-3	cpg-2	4-cell	18750	652	5865	0.3128	8.995398773
510	4-cell_10_C1	spn-4_mex-3	clu-1	4-cell	874	31	278	0.318077803	8.967741935
511	4-cell_10_C2	spn-4_mex-3	cpg-2	4-cell	12080	428	2994	0.247847682	6.995327103
512	4-cell_13_C1	spn-4_mex-3	clu-1	4-cell	1478	48	608	0.411366712	12.66666667
513	4-cell_13_C2	spn-4_mex-3	cpg-2	4-cell	16672	633	5002	0.300023992	7.902053712
514	4-cell_21_C1	spn-4_mex-3	clu-1	4-cell	402	14	136	0.338308458	9.714285714
515	4-cell_21_C2	spn-4_mex-3	cpg-2	4-cell	26173	1103	9563	0.365376533	8.669990934
516	8-cell_02_C1	spn-4_mex-3	clu-1	8-cell	405	19	187	0.461728395	9.842105263
517	8-cell_02_C2	spn-4_mex-3	cpg-2	8-cell	13166	397	3068	0.233024457	7.727959698
518	8-cell_02-2_C1	spn-4_mex-3	clu-1	8-cell	342	13	114	0.333333333	8.769230769
519	8-cell_02-2_C2	spn-4_mex-3	cpg-2	8-cell	14182	475	3448	0.243125088	7.258947368
520	8-cell_09_C1	spn-4_mex-3	clu-1	8-cell	158	4	59	0.373417722	14.75
521	8-cell_09_C2	spn-4_mex-3	cpg-2	8-cell	18217	674	4915	0.269802931	7.292284866
522	8-cell_16_C1	spn-4_mex-3	clu-1	8-cell	239	16	132	0.552301255	8.25
523	8-cell_16_C2	spn-4_mex-3	cpg-2	8-cell	11644	372	2614	0.224493301	7.02688172
524	8-cell_17_C1	spn-4_mex-3	clu-1	8-cell	294	11	145	0.493197279	13.18181818
525	8-cell_17_C2	spn-4_mex-3	cpg-2	8-cell	16769	587	5384	0.321068639	9.172061329
526	12-14-cell_01_C1	spn-4_mex-3	clu-1	12-14-cell	141	6	41	0.290780142	6.833333333
527	12-14-cell_01_C2	spn-4_mex-3	cpg-2	12-14-cell	24940	1054	8769	0.351603849	8.319734345
528	12-14-cell_03_C1	spn-4_mex-3	clu-1	12-14-cell	145	9	67	0.462068966	7.444444444
529	12-14-cell_03_C2	spn-4_mex-3	cpg-2	12-14-cell	12236	428	3573	0.292007192	8.348130841
530	12-14-cell_04_C1	spn-4_mex-3	clu-1	12-14-cell	82	1	6	0.073170732	6
531	12-14-cell_04_C2	spn-4_mex-3	cpg-2	12-14-cell	7081	206	1521	0.214800169	7.383495146
532	12-14-cell_06_C1	spn-4_mex-3	clu-1	12-14-cell	111	3	17	0.153153153	5.666666667
533	12-14-cell_06_C2	spn-4_mex-3	cpg-2	12-14-cell	14825	430	2991	0.201753794	6.955813953
534	12-14-cell_07_C1	spn-4_mex-3	clu-1	12-14-cell	117	6	49	0.418803419	8.166666667
535	12-14-cell_07_C2	spn-4_mex-3	cpg-2	12-14-cell	20132	683	9231	0.458523743	13.51537335
536	16-24-cell_05_C1	spn-4_mex-3	clu-1	16-24-cell	226	7	50	0.221238938	7.142857143
