;index;z;y;x;radius;int_mean;coloc
0;1;24;307;616;2.8284271247461903;704;False
1;2;23;347;677;2.8284271247461903;292;True
2;3;22;244;682;5.342584568965026;1050;False
3;4;21;337;647;2.8284271247461903;236;False
4;5;20;370;658;4.085505846855608;842;False
5;6;17;313;623;2.8284271247461903;343;False
6;7;16;381;587;6.599663291074443;1015;True
7;8;15;364;622;2.8284271247461903;270;False
8;9;15;347;619;2.8284271247461903;428;False
9;10;15;291;587;2.8284271247461903;389;False
10;11;15;212;706;2.8284271247461903;881;False
11;12;14;172;674;4.085505846855608;763;True
12;13;13;351;646;2.8284271247461903;365;True
13;14;13;237;561;5.342584568965026;913;True
14;15;12;340;569;2.8284271247461903;246;False
15;16;12;312;633;2.8284271247461903;408;True
16;17;12;264;609;2.8284271247461903;644;True
17;18;12;241;680;6.599663291074443;1032;True
18;19;11;380;640;4.085505846855608;992;True
19;20;11;378;562;4.085505846855608;1162;True
20;21;11;331;544;2.8284271247461903;256;False
21;22;11;310;590;5.342584568965026;973;True
22;23;11;305;563;4.085505846855608;867;True
23;24;11;274;653;2.8284271247461903;492;False
24;25;11;258;615;2.8284271247461903;455;True
25;26;11;242;698;2.8284271247461903;770;False
26;27;11;212;684;4.085505846855608;749;True
27;28;10;394;546;2.8284271247461903;290;False
28;29;10;378;520;2.8284271247461903;508;True
29;30;10;369;588;4.085505846855608;798;True
30;31;10;369;508;2.8284271247461903;335;False
31;32;10;350;518;4.085505846855608;754;True
32;33;10;336;513;2.8284271247461903;255;False
33;34;10;334;549;2.8284271247461903;335;False
34;35;10;304;506;2.8284271247461903;735;True
35;36;10;293;641;2.8284271247461903;432;False
36;37;10;288;670;2.8284271247461903;235;False
37;38;10;271;550;5.342584568965026;1236;True
38;39;10;262;575;4.085505846855608;766;True
39;40;9;365;604;2.8284271247461903;375;False
40;41;9;361;433;2.8284271247461903;270;False
41;42;9;355;576;2.8284271247461903;679;False
42;43;9;329;627;2.8284271247461903;327;False
43;44;8;360;544;2.8284271247461903;331;False
44;45;8;350;411;2.8284271247461903;249;False
45;46;7;273;493;5.342584568965026;314;True
