;index;z;y;x;n_rna;coloc
0;1;133;466;15;42;True
1;2;144;500;13;28;True
2;3;175;501;19;11;True
3;4;264;422;25;6;False
4;5;283;355;29;7;False
5;6;286;179;56;7;False
6;7;231;326;6;6;False
7;8;291;466;5;5;False
8;9;202;303;4;5;False
9;10;165;492;12;16;True
10;11;162;491;22;6;False
11;12;168;498;16;4;False
12;13;212;505;6;5;False
13;14;210;511;8;4;False
14;15;123;484;12;37;True
15;16;118;487;21;10;True
16;17;132;482;7;5;False
17;18;142;508;23;20;True
18;19;152;502;17;5;False
19;20;145;440;7;5;False
20;21;151;479;17;31;False
21;22;159;480;27;5;False
22;23;147;478;8;5;False
23;24;153;512;12;14;True
24;25;167;522;15;15;False
25;26;153;516;33;6;True
26;27;161;521;40;5;False
27;28;279;296;10;5;False
28;29;123;429;9;8;False
29;30;168;474;23;16;False
30;31;168;474;29;4;False
31;32;204;524;11;5;False
32;33;271;257;11;7;False
33;34;119;400;11;6;False
34;35;121;448;11;6;False
35;36;266;488;12;7;False
36;37;152;522;16;8;False
37;38;131;442;19;8;False
38;39;145;452;12;5;False
39;40;118;461;12;11;False
40;41;206;494;12;6;False
41;42;207;505;18;5;False
42;43;209;501;14;5;True
43;44;123;503;17;68;True
44;45;161;454;12;8;False
45;46;179;473;17;10;True
46;47;209;509;16;3;False
47;48;303;452;27;7;False
48;49;137;518;13;6;False
49;50;218;532;14;8;False
50;51;231;494;19;15;False
51;52;228;497;15;4;True
52;53;158;530;23;34;True
53;54;187;534;14;6;False
54;55;227;439;16;6;False
55;56;102;467;26;13;False
56;57;259;507;15;5;False
57;58;168;542;16;5;False
58;59;273;390;21;10;False
59;60;125;451;25;9;False
60;61;235;483;23;20;True
61;62;295;361;19;5;False
62;63;152;450;30;7;False
63;64;217;468;16;6;False
64;65;188;461;24;9;False
65;66;239;510;19;9;True
66;67;143;350;30;5;False
67;68;298;291;20;5;False
68;69;208;388;35;10;False
69;70;141;444;23;24;False
70;71;98;477;28;13;True
71;72;101;472;35;5;False
72;73;131;502;29;5;False
73;74;232;538;22;5;False
74;75;117;413;20;5;False
75;76;197;440;21;5;False
76;77;190;431;31;17;False
77;78;234;454;23;6;False
78;79;254;505;25;5;False
79;80;107;507;22;5;False
80;81;201;357;22;5;False
81;82;137;406;22;7;False
82;83;226;526;47;39;True
83;84;222;533;36;42;True
84;85;227;516;27;7;False
85;86;231;515;23;4;False
86;87;128;525;26;10;True
87;88;138;272;24;5;False
88;89;245;371;38;6;False
89;90;232;387;28;6;True
90;91;223;406;34;5;False
91;92;222;410;26;9;False
92;93;270;429;41;5;False
93;94;147;426;23;5;False
94;95;213;457;33;5;False
95;96;254;517;42;8;True
96;97;273;470;33;9;False
97;98;182;479;33;5;False
98;99;250;500;33;15;True
99;100;167;460;31;12;False
100;101;168;455;27;5;False
101;102;204;524;27;6;False
102;103;285;364;36;5;False
103;104;176;419;32;9;False
104;105;151;419;28;5;False
105;106;300;452;44;16;False
106;107;180;491;31;6;False
107;108;261;339;36;11;False
108;109;236;363;30;8;False
109;110;244;408;29;5;False
110;111;185;531;39;9;False
111;112;180;542;32;7;False
112;113;173;372;32;7;False
113;114;187;412;35;9;False
114;115;185;415;41;8;False
115;116;221;300;31;6;False
116;117;222;301;36;5;False
117;118;291;382;36;5;False
118;119;229;474;40;25;True
119;120;276;462;47;12;True
120;121;171;327;36;5;False
121;122;280;391;35;5;False
122;123;160;468;35;8;False
123;124;160;544;35;13;True
124;125;222;361;39;5;False
125;126;310;394;47;6;False
126;127;305;397;40;5;False
127;128;245;420;40;8;False
128;129;219;451;39;6;True
129;130;141;463;36;6;False
130;131;124;533;47;5;False
131;132;306;352;37;6;False
132;133;266;418;37;8;False
133;134;274;420;42;5;False
134;135;257;479;38;6;False
135;136;155;553;42;5;False
136;137;213;486;47;5;False
137;138;325;376;44;9;False
138;139;300;418;41;7;False
139;140;272;492;45;41;True
140;141;240;450;44;5;False
141;142;240;489;53;37;True
142;143;231;499;62;6;False
143;144;278;402;40;7;False
144;145;273;501;46;7;False
145;146;190;470;44;5;False
146;147;169;492;47;6;False
147;148;224;379;48;5;False
148;149;261;429;49;5;False
149;150;292;453;50;5;False
150;151;286;190;57;12;False
151;152;262;501;58;15;True
152;153;167;506;61;12;True
