;index;z;y;x;n_rna;coloc
0;1;376;562;13;23;True
1;2;268;491;8;7;True
2;3;353;409;9;5;False
3;4;83;486;8;6;False
4;5;271;552;11;31;True
5;6;260;576;10;9;True
6;7;263;572;12;4;True
7;8;202;613;15;6;False
8;9;225;395;11;5;False
9;10;348;519;12;14;True
10;11;205;532;21;5;False
11;12;304;561;12;12;True
12;13;303;567;13;5;False
13;14;369;589;11;5;True
14;15;368;581;16;5;False
15;16;263;610;13;18;True
16;17;389;612;9;7;False
17;18;154;618;12;5;False
18;19;235;683;13;11;True
19;20;187;285;10;5;False
20;21;205;295;11;9;False
21;22;345;366;11;8;False
22;23;322;393;14;7;False
23;24;223;439;12;10;False
24;25;216;496;10;6;False
25;26;305;504;11;7;True
26;27;238;518;10;8;False
27;28;192;522;10;5;False
28;29;309;589;12;22;True
29;30;308;631;11;6;True
30;31;286;666;20;11;False
31;32;170;654;11;10;False
32;33;212;678;11;8;True
33;34;96;381;12;5;False
34;35;113;414;11;8;False
35;36;189;431;11;6;False
36;37;278;427;18;5;False
37;38;361;437;11;8;False
38;39;221;476;11;5;False
39;40;224;496;12;5;False
40;41;375;518;12;8;True
41;42;133;559;12;5;False
42;43;245;564;13;9;False
43;44;233;560;14;15;True
44;45;352;573;10;5;False
45;46;341;580;15;5;False
46;47;196;582;15;9;False
47;48;229;616;19;5;False
48;49;343;623;13;7;False
49;50;376;643;12;9;True
50;51;378;637;11;5;True
51;52;240;650;12;5;False
52;53;231;652;17;6;False
53;54;169;670;16;5;True
54;55;313;413;15;5;False
55;56;142;569;19;12;False
56;57;379;582;15;7;True
57;58;119;620;13;5;False
58;59;271;655;12;5;False
59;60;243;700;13;10;False
60;61;384;590;17;8;True
61;62;279;589;17;5;False
62;63;112;441;19;7;False
63;64;339;452;15;5;False
64;65;107;495;14;5;False
65;66;348;646;14;8;True
66;67;210;258;16;5;False
67;68;486;402;17;6;False
68;69;214;634;17;5;False
69;70;448;127;19;5;False
70;71;464;424;20;6;False
71;72;148;308;19;5;False
72;73;154;643;19;7;False
73;74;348;675;20;7;True
74;75;107;364;22;5;False
75;76;340;163;23;6;False
76;77;127;527;22;5;False
77;78;286;642;23;6;False
