;index;z;y;x;radius;int_mean;coloc
0;1;61;252;478;5.342584568965026;476;False
1;2;61;238;497;4.085505846855608;1367;True
2;3;61;190;531;2.8284271247461903;443;False
3;4;61;169;505;4.085505846855608;887;True
4;5;60;217;481;2.8284271247461903;608;False
5;6;60;214;527;2.8284271247461903;888;False
6;7;59;263;500;4.085505846855608;1329;True
7;8;57;203;499;2.8284271247461903;519;False
8;9;56;151;530;2.8284271247461903;645;False
9;10;55;208;519;2.8284271247461903;685;False
10;11;52;161;525;2.8284271247461903;638;False
11;12;51;144;517;5.342584568965026;1467;False
12;13;50;240;489;4.085505846855608;1418;True
13;14;48;224;526;5.342584568965026;1729;True
14;15;46;276;460;4.085505846855608;511;True
15;16;45;272;493;6.599663291074443;1930;True
16;17;42;255;515;4.085505846855608;1031;True
17;18;38;231;474;2.8284271247461903;1099;True
18;19;38;219;450;2.8284271247461903;654;True
19;20;37;160;544;2.8284271247461903;908;True
20;21;35;223;532;5.342584568965026;1550;True
21;22;33;250;499;2.8284271247461903;1234;True
22;23;33;156;517;4.085505846855608;1108;True
23;24;31;233;509;2.8284271247461903;710;False
24;25;29;133;541;2.8284271247461903;384;False
25;26;28;97;477;2.8284271247461903;441;True
26;27;27;132;526;2.8284271247461903;432;True
27;28;26;232;388;2.8284271247461903;386;True
28;29;24;186;459;2.8284271247461903;500;False
29;30;23;170;497;2.8284271247461903;642;False
30;31;23;142;507;2.8284271247461903;848;True
31;32;22;160;529;4.085505846855608;1411;True
32;33;21;234;484;4.085505846855608;1253;True
33;34;20;118;488;2.8284271247461903;553;True
34;35;19;238;506;4.085505846855608;1739;True
35;36;19;173;501;2.8284271247461903;678;True
36;37;18;191;484;2.8284271247461903;902;False
37;38;16;208;504;2.8284271247461903;1449;True
38;39;16;176;472;2.8284271247461903;370;True
39;40;16;151;520;2.8284271247461903;1099;False
40;41;15;124;502;4.085505846855608;1618;True
41;42;14;227;499;2.8284271247461903;885;True
42;43;14;154;511;4.085505846855608;1524;True
43;44;13;131;463;4.085505846855608;1716;True
44;45;12;143;504;4.085505846855608;1651;True
45;46;11;124;482;4.085505846855608;1518;True
46;47;10;164;492;2.8284271247461903;1041;True
47;48;8;148;486;2.8284271247461903;547;False
48;49;0;147;484;6.599663291074443;506;False
