Condition,Stage,Image_n,Probe,n_RNA_clusters,Overlap,n_P_granules,%_clusters_in_Pgran,%_Pgran_in_clusters
HS,12-cell,Image_02_191010,gpd-2,34,7,66,0.205882353,0.106060606
HS,12-cell,Image_16_191014,gpd-2,21,5,91,0.238095238,0.054945055
HS,12-cell,Image_17_191014,gpd-2,23,5,95,0.217391304,0.052631579
HS,14-cell,Image_02_191014,gpd-2,22,3,47,0.136363636,0.063829787
HS,14-cell,Image_13_191014,gpd-2,5,2,48,0.4,0.041666667
HS,16-cell,Image_05_191016,gpd-2,16,4,24,0.25,0.166666667
No_HS,2-cell,Image_03_191016,gpd-2,12,0,159,0,0
No_HS,2-cell,Image_04_191014,gpd-2,22,0,90,0,0
No_HS,4-cell,Image_01_191014,gpd-2,63,1,108,0.015873016,0.009259259
No_HS,4-cell,Image_05_191010,gpd-2,34,1,52,0.029411765,0.019230769
No_HS,4-cell,Image_05_191014,gpd-2,65,0,112,0,0
No_HS,4-cell,Image_08_191016,gpd-2,17,1,230,0.058823529,0.004347826
No_HS,4-cell,Image_14_191016,gpd-2,40,1,351,0.025,0.002849003
No_HS,6-cell,Image_07_191014,gpd-2,24,2,223,0.083333333,0.00896861
No_HS,8-cell,Image_02_191014,gpd-2,47,3,43,0.063829787,0.069767442
No_HS,8-cell,Image_03_191014,gpd-2,17,2,60,0.117647059,0.033333333
No_HS,8-cell,Image_09_191014,gpd-2,27,0,47,0,0
No_HS,8-cell,Image_10_191016,gpd-2,15,1,52,0.066666667,0.019230769
No_HS,8-cell,Image_12_191016,gpd-2,40,2,29,0.05,0.068965517
No_HS,12-cell,Image_08_191014,gpd-2,32,3,62,0.09375,0.048387097
No_HS,12-cell,Image_10_191014,gpd-2,36,2,64,0.055555556,0.03125
No_HS,12-cell,Image_11_191016,gpd-2,21,2,80,0.095238095,0.025
No_HS,14-cell,Image_09_191010,gpd-2,29,4,54,0.137931034,0.074074074
No_HS,14-cell,Image_09_191016,gpd-2,13,3,54,0.230769231,0.055555556
No_HS,16-cell,Image_05_191016,gpd-2,5,1,65,0.2,0.015384615
