;index;z;y;x;n_rna;coloc
0;1;113;190;38;11;True
1;2;346;199;6;7;False
2;3;240;234;13;5;False
3;4;413;259;5;5;False
4;5;223;282;7;5;False
5;6;227;265;7;6;False
6;7;203;312;9;6;False
7;8;378;126;9;5;False
8;9;179;329;12;5;False
9;10;203;376;8;9;False
10;11;425;231;11;5;False
11;12;460;277;11;5;False
12;13;301;206;15;6;False
13;14;231;178;19;5;False
14;15;176;277;19;5;False
15;16;444;295;15;7;False
16;17;143;299;14;6;True
17;18;276;123;20;5;False
18;19;183;152;26;5;False
19;20;173;290;30;6;True
20;21;243;218;36;5;False
21;22;319;237;33;5;False
22;23;98;235;34;5;False
23;24;207;276;35;5;False
24;25;486;338;41;5;False
