;index;z;y;x;n_rna;coloc
0;1;432;169;31;20;True
1;2;435;244;15;9;True
2;3;488;257;33;9;True
3;4;438;224;10;7;False
4;5;261;302;10;5;False
5;6;387;358;11;8;False
6;7;355;193;15;5;False
7;8;194;295;26;7;False
8;9;376;346;18;5;False
9;10;425;171;24;6;True
10;11;426;181;18;8;True
11;12;481;172;29;5;True
12;13;432;209;21;7;True
13;14;237;123;16;5;False
14;15;350;210;16;5;False
15;16;502;230;16;9;False
16;17;341;248;23;5;False
17;18;87;89;17;5;False
18;19;462;213;18;5;False
19;20;434;269;19;5;True
20;21;447;142;25;5;True
21;22;452;187;19;7;True
22;23;487;279;31;5;True
23;24;487;190;23;6;False
24;25;188;197;28;7;False
25;26;341;117;22;8;False
26;27;178;256;21;7;False
27;28;462;158;33;19;True
28;29;460;165;23;5;True
29;30;535;256;24;5;False
30;31;31;218;30;7;False
31;32;458;261;34;6;True
32;33;455;173;34;6;True
