;index;z;y;x;n_rna;coloc
0;1;456;261;20;6;False
1;2;465;276;27;16;True
2;3;478;255;9;6;False
3;4;502;182;5;7;False
4;5;338;160;13;5;False
5;6;407;221;6;8;False
6;7;294;239;6;5;False
7;8;131;245;9;6;False
8;9;215;265;7;5;False
9;10;222;381;5;5;False
10;11;402;133;7;5;False
11;12;162;296;13;6;False
12;13;154;325;6;5;False
13;14;308;343;6;5;False
14;15;222;264;12;5;False
15;16;161;376;7;5;False
16;17;135;192;15;7;False
17;18;238;258;9;7;False
18;19;422;78;14;5;False
19;20;443;100;9;5;False
20;21;516;311;11;5;False
21;22;361;150;18;5;False
22;23;453;166;12;5;False
23;24;347;255;10;5;False
24;25;86;257;9;6;False
25;26;159;282;12;5;False
26;27;443;304;11;5;False
27;28;261;203;14;7;False
28;29;460;259;14;14;True
29;30;373;274;12;5;False
30;31;436;250;12;5;False
31;32;518;268;12;5;False
32;33;432;326;12;5;False
33;34;460;250;15;18;True
34;35;350;181;15;5;False
35;36;437;152;17;7;False
36;37;266;245;14;5;False
37;38;514;151;16;5;False
38;39;222;292;22;5;False
39;40;509;161;22;5;False
40;41;473;280;33;6;True
41;42;326;243;22;5;False
42;43;471;287;30;17;True
43;44;512;193;33;5;True
44;45;511;186;29;5;True
