;index;z;y;x;n_rna;coloc
0;1;211;707;16;21;True
1;2;235;560;15;32;True
2;3;364;653;22;19;True
3;4;378;641;12;38;True
4;5;189;607;8;7;False
5;6;211;375;9;10;False
6;7;361;431;10;17;True
7;8;276;491;8;11;True
8;9;360;544;8;6;True
9;10;267;552;12;26;True
10;11;273;545;9;12;True
11;12;356;578;9;7;True
12;13;376;587;15;62;True
13;14;170;672;15;24;True
14;15;342;364;10;13;False
15;16;232;388;9;11;False
16;17;350;410;10;20;True
17;18;124;461;9;5;False
18;19;215;498;10;11;False
19;20;349;519;11;18;True
20;21;113;556;18;5;False
21;22;376;562;12;34;True
22;23;304;563;12;27;True
23;24;302;563;8;7;True
24;25;309;591;13;37;True
25;26;309;589;8;6;True
26;27;313;190;9;5;False
27;28;239;347;10;5;False
28;29;142;406;12;5;False
29;30;142;546;9;5;False
30;31;261;572;10;8;True
31;32;327;626;10;5;True
32;33;242;681;13;34;True
33;34;237;687;14;5;False
34;35;240;685;25;5;True
35;36;211;682;12;22;True
36;37;378;521;11;11;True
37;38;394;547;11;6;True
38;39;212;552;11;5;False
39;40;272;651;12;11;True
40;41;122;422;12;7;False
41;42;116;484;11;5;False
42;43;485;156;13;5;False
43;44;269;354;12;5;False
44;45;184;400;17;7;False
45;46;235;571;15;15;False
46;47;263;610;13;13;True
47;48;257;616;12;6;True
48;49;348;647;13;6;True
49;50;238;581;13;5;False
50;51;398;641;17;27;False
51;52;192;625;15;10;False
52;53;331;347;17;5;False
53;54;122;381;16;5;False
54;55;304;615;25;13;True
55;56;372;660;20;11;True
56;57;249;595;18;6;False
57;58;255;641;20;13;False
58;59;136;418;19;7;False
59;60;106;364;23;12;False
60;61;130;533;23;5;False
61;62;281;641;23;7;False
62;63;188;666;25;7;False
63;64;250;531;25;14;False
64;65;226;577;24;7;False
