;index;z;y;x;n_rna;coloc
0;1;142;373;10;15;False
1;2;109;409;13;26;True
2;3;116;408;11;7;False
3;4;175;463;11;5;False
4;5;209;488;11;8;False
5;6;104;484;15;11;True
6;7;272;201;13;5;False
7;8;92;347;17;7;False
8;9;137;417;16;5;True
9;10;142;310;20;11;False
10;11;189;353;29;12;True
11;12;188;358;19;8;False
12;13;107;506;25;5;True
13;14;108;510;18;5;True
14;15;164;383;23;8;True
15;16;194;482;18;9;True
16;17;165;481;23;8;True
17;18;258;314;29;21;False
18;19;192;373;31;9;True
19;20;197;371;23;5;False
20;21;157;422;24;5;False
21;22;223;542;28;13;True
22;23;152;457;30;5;False
23;24;231;509;32;5;False
24;25;192;413;31;19;True
25;26;171;345;31;7;True
26;27;146;420;29;5;True
27;28;301;443;30;5;False
28;29;244;249;33;7;False
29;30;386;260;33;5;False
