;index;z;y;x;radius;int_mean;coloc
0;1;57;127;222;4.085505846855608;313;False
1;2;53;102;280;4.085505846855608;594;True
2;3;53;92;224;2.8284271247461903;436;False
3;4;51;115;257;4.085505846855608;600;True
4;5;50;101;233;4.085505846855608;671;True
5;6;48;124;237;5.342584568965026;1068;True
6;7;48;59;302;4.085505846855608;793;True
7;8;47;115;283;4.085505846855608;478;True
8;9;47;77;294;2.8284271247461903;391;False
9;10;46;111;214;4.085505846855608;815;True
10;11;45;73;260;2.8284271247461903;279;False
11;12;45;65;276;2.8284271247461903;270;False
12;13;44;64;323;2.8284271247461903;318;False
13;14;40;83;257;2.8284271247461903;454;False
14;15;39;86;226;2.8284271247461903;551;True
15;16;35;57;251;2.8284271247461903;371;False
16;17;34;95;199;2.8284271247461903;318;False
17;18;32;110;223;4.085505846855608;782;True
18;19;31;88;376;2.8284271247461903;732;True
19;20;30;50;327;2.8284271247461903;306;False
20;21;27;86;222;2.8284271247461903;548;False
21;22;25;109;266;2.8284271247461903;894;True
22;23;25;70;252;2.8284271247461903;567;False
23;24;23;90;209;2.8284271247461903;282;False
24;25;20;56;294;5.342584568965026;1173;True
25;26;18;85;314;2.8284271247461903;410;False
26;27;18;75;239;2.8284271247461903;842;False
27;28;18;73;288;2.8284271247461903;389;False
28;29;17;99;377;2.8284271247461903;207;False
29;30;17;58;321;2.8284271247461903;819;True
30;31;16;127;303;4.085505846855608;928;True
31;32;16;110;305;2.8284271247461903;252;False
32;33;15;121;349;4.085505846855608;856;True
33;34;15;105;337;4.085505846855608;774;True
34;35;15;98;358;2.8284271247461903;226;False
35;36;15;91;292;4.085505846855608;735;True
36;37;14;125;219;2.8284271247461903;653;False
37;38;14;91;311;2.8284271247461903;809;False
38;39;14;84;340;2.8284271247461903;715;False
39;40;12;128;326;2.8284271247461903;726;False
40;41;11;116;266;4.085505846855608;901;True
41;42;11;115;298;2.8284271247461903;279;False
