;index;z;y;x;n_rna;coloc
0;1;451;251;22;20;True
1;2;470;247;32;15;True
2;3;508;190;36;34;True
3;4;504;205;12;24;True
4;5;461;214;11;12;True
5;6;396;292;10;5;False
6;7;395;308;10;7;False
7;8;513;272;12;17;True
8;9;462;254;17;48;True
9;10;420;324;16;11;False
10;11;359;303;14;6;False
11;12;450;175;20;30;False
12;13;408;340;20;5;False
13;14;488;174;19;5;True
14;15;360;347;19;5;False
15;16;436;203;31;17;True
16;17;252;334;23;5;False
17;18;331;223;32;13;False
18;19;330;223;27;5;False
19;20;416;340;33;6;False
20;21;307;241;34;16;False
21;22;509;254;35;9;True
22;23;399;233;34;5;True
23;24;510;234;34;5;True
24;25;449;252;37;9;True
25;26;419;190;38;9;True
26;27;263;284;39;10;False
27;28;338;206;41;5;False
