;index;z;y;x;n_rna;coloc
0;1;182;254;15;13;False
1;2;117;266;12;13;True
2;3;260;316;13;6;False
3;4;90;293;15;12;True
4;5;309;306;16;11;False
5;6;57;320;18;13;True
6;7;103;336;15;10;True
7;8;238;222;16;5;False
8;9;242;220;21;6;False
9;10;128;304;17;9;True
10;11;122;304;19;7;False
11;12;160;331;16;6;False
12;13;121;352;15;5;True
13;14;146;307;18;5;False
14;15;55;293;21;49;True
15;16;257;224;19;6;False
16;17;118;320;20;6;False
17;18;221;338;24;9;False
18;19;108;266;26;14;True
19;20;309;250;29;7;False
20;21;272;271;32;8;False
21;22;108;221;32;18;True
22;23;88;377;32;8;True
23;24;206;268;38;5;False
24;25;87;227;40;6;True
25;26;113;301;43;5;False
26;27;182;263;43;6;False
27;28;110;214;47;21;True
28;29;149;303;44;8;False
29;30;120;238;47;14;True
30;31;124;234;50;5;True
31;32;114;285;47;17;True
32;33;58;303;48;8;True
33;34;102;278;55;8;True
34;35;100;235;52;5;True
35;36;103;234;48;3;True
36;37;116;255;50;6;True
