;index;z;y;x;radius;int_mean;coloc
0;1;55;174;290;4.085505846855608;648;False
1;2;55;173;323;2.8284271247461903;581;False
2;3;55;169;220;4.085505846855608;545;False
3;4;55;145;309;5.342584568965026;591;False
4;5;55;144;220;4.085505846855608;407;False
5;6;55;131;271;5.342584568965026;519;False
6;7;55;123;254;4.085505846855608;423;False
7;8;55;120;250;2.8284271247461903;388;False
8;9;55;115;249;2.8284271247461903;372;False
9;10;55;107;253;4.085505846855608;361;False
10;11;51;161;293;2.8284271247461903;691;False
11;12;50;169;242;2.8284271247461903;417;False
12;13;50;163;313;2.8284271247461903;1124;False
13;14;50;158;294;2.8284271247461903;666;False
14;15;50;124;268;2.8284271247461903;734;False
15;16;49;155;298;2.8284271247461903;671;False
16;17;48;134;314;2.8284271247461903;533;False
17;18;47;174;278;2.8284271247461903;1103;False
18;19;47;127;195;4.085505846855608;461;False
19;20;46;159;215;4.085505846855608;1395;True
20;21;46;121;233;2.8284271247461903;987;False
21;22;45;172;247;2.8284271247461903;436;False
22;23;45;167;303;5.342584568965026;1859;True
23;24;45;148;335;2.8284271247461903;445;False
24;25;44;156;319;4.085505846855608;1690;True
25;26;43;122;255;2.8284271247461903;399;False
26;27;43;115;272;5.342584568965026;1541;True
27;28;42;164;234;2.8284271247461903;882;True
28;29;41;220;222;2.8284271247461903;312;False
29;30;41;179;274;2.8284271247461903;715;False
30;31;41;146;289;2.8284271247461903;1204;False
31;32;41;133;178;2.8284271247461903;601;False
32;33;40;175;218;2.8284271247461903;455;False
33;34;40;146;331;2.8284271247461903;398;False
34;35;40;126;307;4.085505846855608;1288;True
35;36;39;168;337;2.8284271247461903;459;False
36;37;38;168;279;2.8284271247461903;659;False
37;38;38;164;312;5.342584568965026;1704;True
38;39;38;117;190;4.085505846855608;1279;True
39;40;36;175;301;2.8284271247461903;989;False
40;41;36;141;309;2.8284271247461903;535;False
41;42;34;116;317;2.8284271247461903;361;False
42;43;33;170;211;2.8284271247461903;942;False
43;44;33;162;330;4.085505846855608;1065;True
44;45;33;153;179;2.8284271247461903;796;False
45;46;33;138;169;5.342584568965026;1596;True
46;47;31;177;289;5.342584568965026;1886;True
47;48;30;174;256;4.085505846855608;444;False
48;49;30;139;304;2.8284271247461903;536;False
49;50;29;174;315;2.8284271247461903;605;False
50;51;28;158;201;2.8284271247461903;414;False
51;52;27;286;214;2.8284271247461903;258;False
52;53;27;169;264;2.8284271247461903;727;False
53;54;27;112;208;2.8284271247461903;329;False
54;55;26;168;184;4.085505846855608;1231;True
55;56;26;161;255;2.8284271247461903;598;False
56;57;26;155;256;2.8284271247461903;607;False
57;58;25;166;338;2.8284271247461903;413;False
58;59;25;135;318;2.8284271247461903;468;False
59;60;25;131;308;2.8284271247461903;538;False
60;61;24;190;285;2.8284271247461903;528;False
61;62;24;182;312;2.8284271247461903;705;False
62;63;23;155;291;2.8284271247461903;557;False
63;64;22;121;292;2.8284271247461903;674;False
64;65;21;160;265;5.342584568965026;1811;True
65;66;20;224;193;2.8284271247461903;346;True
66;67;19;313;184;2.8284271247461903;254;False
67;68;19;220;248;2.8284271247461903;305;False
68;69;18;239;133;2.8284271247461903;246;True
69;70;18;205;179;2.8284271247461903;307;True
70;71;18;196;199;2.8284271247461903;320;False
71;72;18;156;176;2.8284271247461903;420;False
72;73;17;171;195;4.085505846855608;730;True
73;74;17;134;260;2.8284271247461903;478;False
74;75;17;126;245;2.8284271247461903;418;False
75;76;16;142;220;2.8284271247461903;488;False
76;77;15;313;206;2.8284271247461903;266;True
77;78;15;170;269;2.8284271247461903;624;False
78;79;14;145;299;2.8284271247461903;681;False
79;80;13;187;300;2.8284271247461903;445;False
80;81;10;166;185;4.085505846855608;1410;True
